Timestamp,Humidity,Temperature_C,HeatIndex_C
10006,41.0,31.9,32.31
20031,41.0,31.9,32.31
30057,41.0,31.9,32.31
40083,41.0,32.0,32.46
50108,41.0,32.0,32.46
60133,41.0,32.0,32.46
70159,41.0,32.0,32.46
80183,40.0,32.0,32.28
90209,40.0,32.0,32.28
100233,39.0,32.0,32.1
110259,39.0,31.9,31.96
120284,39.0,31.9,31.96
130310,39.0,31.8,31.83
140336,39.0,31.8,31.83
150362,39.0,31.7,31.69
160387,39.0,31.7,31.69
200489,38.0,31.5,31.27
210514,38.0,31.5,31.27
10006,46.0,30.6,31.29
20031,46.0,30.6,31.29
30057,46.0,30.5,31.14
40083,46.0,30.5,31.14
50108,46.0,30.5,31.14
10006,46.0,30.5,31.14
30057,46.0,30.5,31.14
40083,46.0,30.5,31.14
50108,46.0,30.5,31.14
90207,47.0,30.6,31.45
100232,47.0,30.7,31.6
110257,47.0,30.8,31.75
120283,47.0,30.9,31.9
130309,46.0,30.9,31.72
140335,46.0,30.9,31.72
150361,46.0,30.9,31.72
160387,46.0,30.9,31.72
170413,46.0,30.9,31.72
180438,46.0,30.9,31.72
190462,46.0,30.8,31.58
200487,46.0,30.8,31.58
210512,46.0,30.8,31.58
220536,46.0,30.7,31.43
230561,46.0,30.7,31.43
240586,46.0,30.7,31.43
250611,46.0,30.6,31.29
260636,46.0,30.6,31.29
270661,46.0,30.6,31.29
280687,46.0,30.5,31.14
290713,46.0,30.5,31.14
300739,46.0,30.5,31.14
310765,46.0,30.5,31.14
320790,46.0,30.5,31.14
330815,46.0,30.5,31.14
340840,47.0,30.4,31.16
350864,47.0,30.4,31.16
360889,47.0,30.4,31.16
370914,47.0,30.4,31.16
380939,47.0,30.4,31.16
390965,47.0,30.4,31.16
10006,48.0,30.5,31.47
20031,48.0,30.6,31.62
20031,57.0,29.0,30.59
30057,55.0,29.1,30.46
40083,52.0,29.1,30.05
50108,50.0,29.1,29.79
60132,47.0,29.0,29.31
70157,46.0,29.0,29.2
80183,45.0,28.9,28.98
90208,44.0,28.8,28.77
110257,42.0,28.6,28.38
120282,42.0,28.4,28.18
130308,42.0,28.3,28.08
999,45.00,29.00,29.09
2024,45.00,29.00,29.09
3025,45.00,29.00,29.09
4048,45.00,29.00,29.09
5051,45.00,29.00,29.09
6074,45.00,29.00,29.09
7075,45.00,29.00,29.09
8099,45.00,29.00,29.09
9101,45.00,29.00,29.09
10126,45.00,29.00,29.09
11127,45.00,29.00,29.09
12152,45.00,29.00,29.09
13154,45.00,29.00,29.09
14178,45.00,29.00,29.09
15179,45.00,29.00,29.09
16202,45.00,29.00,29.09
17205,45.00,29.00,29.09
18228,45.00,29.00,29.09
19230,45.00,29.00,29.09
20253,45.00,29.00,29.09
21255,45.00,29.00,29.09
22279,45.00,29.00,29.09
23280,45.00,29.00,29.09
24305,45.00,29.00,29.09
25307,45.00,29.00,29.09
26332,45.00,29.00,29.09
999,41.00,27.20,27.07
2024,41.00,27.20,27.07
3025,41.00,27.20,27.07
4048,41.00,27.20,27.07
5051,41.00,27.20,27.07
6074,41.00,27.20,27.07
7076,41.00,27.20,27.07
8099,41.00,27.20,27.07
9101,41.00,27.20,27.07
10125,41.00,27.20,27.07
11126,41.00,27.30,27.14
12150,41.00,27.30,27.14
13152,41.00,27.30,27.14
14176,41.00,27.30,27.14
15177,41.00,27.30,27.14
16201,41.00,27.30,27.14
17203,40.00,27.30,27.09
18228,40.00,27.30,27.09
19229,40.00,27.30,27.09
20254,40.00,27.30,27.09
21256,40.00,27.30,27.09
22281,40.00,27.30,27.09
23282,40.00,27.30,27.09
24307,40.00,27.30,27.09
25309,40.00,27.30,27.09
26334,40.00,27.30,27.09
27335,40.00,27.30,27.09
